,Column,Min Value,id_1,id_2
145,LOSS_23_def1,5.392588018482968,Susceptible_hab_FINAL.db,37
146,LOSS_23_def1,5.623568285954298,Susceptible_hab_FINAL.db,7
147,LOSS_23_def3,7.177190879734003,Resilient_hab_FAIL.db,75
148,LOSS_23_def3,9.38309919235223,Resilient_hab.db,31
149,LOSS_23_def3,10.151014214856236,Resilient_hab.db,17
150,LOSS_23_def3,14.242627752215895,Resilient_hab_FAIL.db,84
151,LOSS_23_def3,14.259520603016588,Resilient_hab.db,20
152,LOSS_23_def3,14.273874203507336,Resilient_hab_FAIL.db,57
153,LOSS_23_def3,14.582044595198264,calibration.db,37
154,LOSS_24_def1,2.73683717498338,Control_hab_FINAL.db,27
155,LOSS_24_def1,4.140762205388251,calibration.db,33
156,LOSS_24_def1,4.584074785648983,Control_hab_FINAL.db,0
157,LOSS_24_def1,5.139348572897729,Resilient_hab_FAIL.db,83
158,LOSS_24_def1,5.357162364284695,Susceptible_hab_FINAL.db,88
159,LOSS_24_def1,5.5752896540939245,calibration.db,5
160,LOSS_24_def1,6.028489890770928,Resilient_hab.db,20
161,LOSS_24_def3,9.238976697656604,Resilient_def.db,77
162,LOSS_24_def3,9.79332749804751,Resilient_hab.db,51
163,LOSS_24_def3,10.384690559057333,Resilient_def.db,42
164,LOSS_24_def3,10.464879243129856,Resilient_def.db,73
165,LOSS_24_def3,10.477220833348545,Resilient_def.db,78
166,LOSS_24_def3,11.978514049843511,Resilient_def.db,17
167,LOSS_24_def3,12.70545822774294,Resilient_def.db,55
168,LOSS_25_def1,2.405745976121555,Resilient_hab_FAIL.db,78
169,LOSS_25_def1,2.6148765103001232,Control_hab_FINAL.db,27
170,LOSS_25_def1,3.0025369332917675,Resilient_hab_FAIL.db,83
171,LOSS_25_def1,3.511290344526404,calibration.db,39
172,LOSS_25_def1,3.5514984087389347,calibration.db,18
173,LOSS_25_def1,3.5654150282753854,calibration.db,33
174,LOSS_25_def1,3.785253795809653,Control_hab_FINAL.db,51
175,LOSS_25_def3,1.4934952079405,Control_hab_FINAL.db,27
176,LOSS_25_def3,2.479927478865634,Resilient_hab_FAIL.db,78
177,LOSS_25_def3,2.943415032575352,Susceptible_hab_FINAL.db,88
178,LOSS_25_def3,3.85632854903601,calibration.db,33
179,LOSS_25_def3,4.106543331839547,Control_hab_FINAL.db,0
180,LOSS_25_def3,4.137440174354546,Resilient_hab_FAIL.db,83
181,LOSS_25_def3,5.015653088961769,Control_hab_FINAL.db,24
182,LOSS_26_def1,7.458873982739967,Resilient_hab_FAIL.db,75
183,LOSS_26_def1,10.937209357867191,Resilient_hab_FAIL.db,84
184,LOSS_26_def1,11.748737050731126,Resilient_hab_FAIL.db,72
185,LOSS_26_def1,12.49287065287712,Susceptible_hab_FINAL.db,49
186,LOSS_26_def1,13.008769869627036,Resilient_hab_FAIL.db,58
187,LOSS_26_def1,13.076874573865824,Resilient_hab.db,17
188,LOSS_26_def1,13.226347549502698,Resilient_hab.db,20
189,LOSS_26_def3,5.159217048661187,Resilient_def.db,26
190,LOSS_26_def3,5.36986267028713,Resilient_hab.db,49
191,LOSS_26_def3,5.497284296614076,Resilient_def.db,44
192,LOSS_26_def3,5.738126105163094,Resilient_def.db,74
193,LOSS_26_def3,5.783947701582514,Resilient_def.db,25
194,LOSS_26_def3,5.871768870455408,Resilient_def.db,61
195,LOSS_26_def3,6.360217590190056,Resilient_def.db,39
