source_db,trial_id,LOSS_13_def1,LOSS_13_def3,LOSS_14_def1,LOSS_14_def3,LOSS_15_def1,LOSS_15_def3,LOSS_16_def1,LOSS_16_def3,LOSS_17_def1,LOSS_17_def3,LOSS_18_def1,LOSS_18_def3,LOSS_19_def1,LOSS_19_def3,LOSS_20_def1,LOSS_20_def3,LOSS_21_def1,LOSS_21_def3,LOSS_22_def1,LOSS_22_def3,LOSS_23_def1,LOSS_23_def3,LOSS_24_def1,LOSS_24_def3,LOSS_25_def1,LOSS_25_def3,LOSS_26_def1,LOSS_26_def3,has_laziness,param_id_threshold,param_k_shelter,param_k_threat,param_delta_stay,param_sensory_prec_slope,metric_entropy,metric_laziness,metric_n_ch_co,metric_n_co_ch,metric_n_co_sh,metric_n_sh_co,metric_t_investigating,metric_t_shelter
Susceptible_hab_FINAL.db,4,45.65755022,19.02317074,49.79692682,26.61992708,83.8926725,42.93432191,20.03069746,54.72123101,40.20024455,44.09564403,42.27446109,31.516045,18.56355969,79.21639471,10.86241201,11.18017384,16.77238103,7.090293667,26.68752573,20.89579373,15.25838916,26.42095941,21.29066731,60.09453874,28.82829943,22.15768435,25.67925874,105.2951644,TRUE,0.504530032,1.425929205,0.283070538,2.524846431,0.494753453,4.394103665,0.656,15,15,4,5,0.5615,0.0935
Susceptible_hab_FINAL.db,5,22.31745929,4.942318901,24.51397441,8.766976089,51.18037314,19.49489456,6.605679899,29.36797674,17.8903034,21.74170574,21.15324299,14.46740516,6.083689754,55.13117894,1.802556998,2.972923685,7.012947736,2.953789809,8.310036045,5.279627072,3.25424623,11.7470571,11.56969023,36.48727133,14.95895381,11.02625579,11.63059087,70.46763641,TRUE,0.568142213,0.412685096,1.037225998,2.613226977,0.776791986,4.177511677,0.7475,14,14,4,5,0.3715,0.0745
Susceptible_hab_FINAL.db,6,53.33446224,32.26791501,59.68224235,36.48112067,84.47195652,49.90192656,17.59491053,66.03482246,44.39489007,41.41804858,59.42265613,45.33176779,40.74867454,103.2954815,21.18550838,12.89832428,17.67139528,13.11522887,45.65495751,29.08833016,24.2838249,34.11143523,13.57090687,72.08466032,17.6642084,13.28918694,25.14709383,104.504278,TRUE,0.463420428,0.426287976,1.477754307,1.463083492,0.379853176,3.900699147,0.695,5,6,0,1,0.72,0.0685
Susceptible_hab_FINAL.db,7,20.65485428,5.634349345,22.69393943,7.595286817,46.33752554,18.9097832,5.95886888,26.68502142,15.04158003,18.48488182,21.48767889,16.02711829,7.166994257,57.55798355,3.351937801,4.622998009,6.744152941,6.136939641,8.50866828,5.925580888,3.951701112,11.01645031,10.63374826,36.36958152,12.3078339,9.378226175,11.52948519,65.87351454,TRUE,0.469376761,0.56079029,0.39307878,1.202229726,0.695415405,4.262323478,0.79,14,15,1,2,0.3645,0.0745
Susceptible_hab_FINAL.db,8,52.63400932,28.16679488,57.53746083,38.20129533,95.91258234,48.91331015,32.13972578,64.38902309,52.70402526,59.42392205,49.68212431,37.94978273,24.50721791,83.52380996,20.44314036,19.00662177,33.65019142,14.91573603,31.9261697,28.22297756,25.53295825,43.1501659,40.6756629,67.27612051,48.66024987,40.0631469,39.44540717,117.0180048,TRUE,0.866844635,1.23379894,1.384003213,1.519088728,0.822506367,4.187393383,0.5655,12,13,5,6,0.3795,0.074
Susceptible_hab_FINAL.db,9,25.3160994,15.19223057,26.88927667,12.91847708,40.88610062,22.87644508,6.673875436,31.02160474,15.54556747,13.9018079,30.6189834,25.57817737,24.03655788,69.6429656,13.44538761,11.89067034,8.238990263,17.15294314,21.16716335,13.05987159,11.80940352,13.54334354,6.227730513,42.36233426,4.488649194,4.99876717,11.82358354,58.8628368,TRUE,0.463491657,0.805510775,0.259511619,2.97391445,0.583066173,3.473853257,0.898,10,11,0,1,0.4535,0.043
Susceptible_hab_FINAL.db,10,25.55783131,7.957328382,27.6595512,13.26917166,58.56774737,23.85752077,15.96577082,32.00026856,24.14684443,31.82102683,22.69148848,17.2589775,3.885870022,54.86644293,6.044259401,9.510299873,17.04537561,8.42901249,7.522512415,9.718338966,8.110902949,19.68423546,25.9291789,39.59110125,30.04209707,24.53515906,21.57935813,78.72224631,TRUE,0.477740472,0.490179617,0.328642895,1.000758623,0.821255854,4.638051217,0.704,17,17,3,4,0.2475,0.0945
Susceptible_hab_FINAL.db,11,72.76239974,37.18259216,74.4739253,50.81453419,122.6876759,69.36995086,57.62471894,78.79026804,72.9460221,85.05412421,55.88754795,47.36226184,26.22112817,81.55669972,31.32011909,41.37712312,50.06859283,30.28402054,38.9428876,44.76155108,38.17098228,52.23722718,65.19034843,79.85681653,78.84558267,68.37940509,60.14770582,145.0076803,TRUE,0.727511975,1.496880506,0.483642958,1.26691068,0.637584996,4.786316571,0.5595,25,25,13,14,0.3895,0.1285
Susceptible_hab_FINAL.db,12,147.3267547,109.8003887,156.6919332,127.9239548,210.2148836,142.7914815,112.4725921,165.7917636,149.8417693,158.1899954,143.0667772,122.9780327,101.8100538,181.5931335,93.42552037,87.29510233,113.1697149,77.51103269,117.9694412,109.8094814,103.9715526,132.3635008,120.6835215,164.380942,135.2422656,120.6646216,123.4127313,235.0142655,TRUE,0.436342282,0.949143498,0.963255118,1.194338087,0.893070742,4.146529937,0.3375,10,11,4,5,0.5545,0.0615
Susceptible_hab_FINAL.db,13,17.15061354,22.12220623,18.3910513,16.64105498,24.44691614,14.25588419,11.99486124,24.16286744,12.87726372,11.41427863,28.89041376,26.37815218,32.67648338,62.99459048,25.21378737,19.96116879,22.19092638,30.50197704,22.36767975,15.41577437,20.52673762,24.41321281,20.55288921,34.46786535,13.76072295,15.95027841,17.57696301,38.4605771,TRUE,0.536535194,0.360708098,1.180754946,2.686219245,0.708914992,2.731674452,0.914,3,4,0,1,0.151,0.06
